Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
4,8841,4,200,24,150,0.000661234,0.03114949,53.8,0.029762497,58.8,20,49,13,33,0.487134503,0.365990914,0.413870546,0.591619826,0.779017783,0.666790116,0.572504348,0.147326767,0.572504348,0.153954386
82,6842,4,60,24,130,0.005206676,0.02853166,59.6,0.029601398,59.4,20,49,13,33,0.582612915,0.368010082,0.401613486,0.60793471,0.778068641,0.667836933,0.573039362,0.147142855,0.573039362,0.163019546
73,6451,2,95,256,70,0.005788236,0.002936884,57,0.005786762,58.6,23,45,17,30,0.485294477,0.422862112,0.441226414,0.584374233,0.718931487,0.630416443,0.5708968,0.142778935,0.5708968,0.147972009
140,3538,2,100,48,35,0.008390879,0.015262458,56,0.017175046,58.2,19,49,13,34,0.675148107,0.351935846,0.403842144,0.590919648,0.789853218,0.669707288,0.570894532,0.142125167,0.570894532,0.166063839
114,8445,1,170,8,165,0.004535709,0.117232596,55.2,0.086178676,58.8,18,50,12,35,0.491639571,0.335866704,0.397166918,0.587266771,0.80465375,0.67550474,0.570260227,0.14206522,0.570260227,0.151630299
116,6535,2,135,256,150,0.008996989,0.0034043,56,0.005768878,58.6,18,50,12,35,0.491062019,0.329325905,0.39180902,0.587059936,0.811369558,0.677365819,0.570347731,0.141919962,0.570347731,0.151384507
56,5795,2,30,24,175,0.003098538,0.030624377,54.4,0.030037292,57.8,18,50,12,35,0.59776431,0.338504211,0.427266016,0.582492008,0.798857054,0.671808197,0.568680633,0.14120842,0.568680633,0.157143718
120,6656,4,140,56,105,0.001959549,0.013216728,58.4,0.014606459,58,25,42,19,28,0.453729394,0.460650944,0.452535148,0.604801942,0.680637357,0.626965926,0.57064415,0.141203503,0.57064415,0.142346107
93,3794,2,75,40,20,0.005313743,0.018934969,54.2,0.018573497,57.4,25,42,20,28,0.542800766,0.464830576,0.491413923,0.599488074,0.671910199,0.628703965,0.568370388,0.137150783,0.568370388,0.139366644
30,6794,4,200,128,35,0.002248929,0.005932587,56,0.006706609,58,20,48,14,33,0.461961876,0.367117206,0.40314562,0.593708556,0.769487518,0.663231323,0.568302362,0.136737462,0.568302362,0.138523138
48,2807,1,105,48,155,0.001086037,0.016679027,55.4,0.017711949,57.2,27,40,22,26,0.537239979,0.49665286,0.513225841,0.599003663,0.640035961,0.617317385,0.56834441,0.136367871,0.56834441,0.136479065
11,7655,2,35,40,140,0.000160701,0.017768829,56.6,0.018462678,57.8,20,47,14,33,0.466772826,0.369611936,0.408002249,0.592862272,0.766665153,0.662336191,0.568138544,0.135735011,0.568138544,0.125590804
109,1569,2,175,24,70,0.002301891,0.029271312,57.8,0.029884066,58,19,49,13,34,0.601026348,0.344563321,0.426121679,0.581365798,0.785818603,0.665576711,0.565190962,0.135147333,0.565190962,0.153375288
